Month Name,Month,Year,Query Count,Query Text,Month Num,Rank,,,,,,,,,,
January,,2016,19,fire,1,12942,,,,,,"35,000 rows, 5 columns",,,,
January,,2016,7,12 south overlay,1,31551,,,,,,Max queries: ,5610,,,
January,,2016,14,17.16.160,1,18917,,,,,,Year is number: ,TRUE,,,
January,,2016,9,2016 metro pay plan,1,26399,,,,,,Query count is number:,TRUE,,,
January,,2016,7,2016 pay plan,1,31551,,,,,,Map Searches:,Count,Sum,Average,Max
January,,2016,7,2016 raise in pension,1,31551,,,,,,,124,11279,90.95967742,351
January,,2016,15,2016 summer youth programs,1,17757,,,,,,All query counts over 100:,,,,938
January,,2016,9,96-555,1,26399,,,,,,,,,,
January,,2016,7,about me,1,31551,,,,,,Month Name,Month Num,,,
January,,2016,62,accident report,1,2152,,,,,,January,1,,,
January,,2016,7,Accident report,1,31551,,,,,,February,2,,,
January,,2016,11,accident reports,1,22840,,,,,,March,3,,,
January,,2016,7,affidavit,1,31551,,,,,,April,4,,,
January,,2016,7,affidavits,1,31551,,,,,,May,5,,,
January,,2016,9,affordable housing,1,26399,,,,,,June,6,,,
January,,2016,12,alarm registration,1,21410,,,,,,July,7,,,
January,,2016,35,animal control,1,5316,,,,,,August,8,,,
January,,2016,8,Animal control,1,28780,,,,,,September,9,,,
January,,2016,14,application,1,18917,,,,,,October,10,,,
January,,2016,13,Application for Tattooing Permit,1,20168,,,,,,November,11,,,
January,,2016,7,applications,1,31551,,,,,,December,12,,,
January,,2016,7,Arrest,1,31551,,,,,,,,,,
January,,2016,23,arrest records,1,9894,,,,,,,,,,
January,,2016,11,Arrests,1,22840,,,,,,,,,,
January,,2016,27,assessor,1,7822,,,,,,,,,,
January,,2016,10,Assessor,1,24413,,,,,,47 entries for fire in August,,,,
January,,2016,12,athena,1,21410,,,,,,,,,,
January,,2016,17,auction,1,15102,,,,,,,,,,
January,,2016,9,Autopsy reports,1,26399,,,,,,,,,,
January,,2016,8,backflow,1,28780,,,,,,,,,,
January,,2016,7,beer board,1,31551,,,,,,,,,,
January,,2016,12,benefit board,1,21410,,,,,,,,,,
January,,2016,27,benefits,1,7822,,,,,,,,,,
January,,2016,10,bid,1,24413,,,,,,,,,,
January,,2016,14,bids,1,18917,,,,,,,,,,
January,,2016,14,Bike Grate,1,18917,,,,,,,,,,
January,,2016,30,birth certificate,1,6674,,,,,,,,,,
January,,2016,15,Birth certificate,1,17757,,,,,,,,,,
January,,2016,17,birth certificates,1,15102,,,,,,,,,,
January,,2016,9,BL2005-701,1,26399,,,,,,,,,,
January,,2016,14,BL2007�1364,1,18917,,,,,,,,,,
January,,2016,10,Board of Health minutes 2010,1,24413,,,,,,,,,,
January,,2016,9,Booking,1,26399,,,,,,,,,,
January,,2016,7,booking,1,31551,,,,,,,,,,
January,,2016,10,brad,1,24413,,,,,,,,,,
January,,2016,7,Breast pump,1,31551,,,,,,,,,,
January,,2016,7,Brian Hunter,1,31551,,,,,,,,,,
January,,2016,8,brush pickup,1,28780,,,,,,,,,,
January,,2016,11,budget,1,22840,,,,,,,,,,
January,,2016,19,building codes,1,12942,,,,,,,,,,
January,,2016,19,building permit,1,12942,,,,,,,,,,
January,,2016,11,building permits,1,22840,,,,,,,,,,
January,,2016,9,burglars,1,26399,,,,,,,,,,
January,,2016,17,burkitt,1,15102,,,,,,,,,,
January,,2016,14,business license,1,18917,,,,,,,,,,
January,,2016,10,bylaws for office of assessor of property,1,24413,,,,,,,,,,
January,,2016,13,calendar,1,20168,,,,,,,,,,
January,,2016,11,Calendar,1,22840,,,,,,,,,,
January,,2016,12,campaign finance disclosure,1,21410,,,,,,,,,,
January,,2016,11,cane ridge,1,22840,,,,,,,,,,
January,,2016,7,Car accident report,1,31551,,,,,,,,,,
January,,2016,9,career,1,26399,,,,,,,,,,
January,,2016,15,careers,1,17757,,,,,,,,,,
January,,2016,13,Careers,1,20168,,,,,,,,,,
January,,2016,7,Carlos d Douglas,1,31551,,,,,,,,,,
January,,2016,9,catering,1,26399,,,,,,,,,,
January,,2016,8,centennial park,1,28780,,,,,,,,,,
January,,2016,9,central records,1,26399,,,,,,,,,,
January,,2016,11,certificate of occupancy,1,22840,,,,,,,,,,
January,,2016,7,chancery court,1,31551,,,,,,,,,,
January,,2016,7,charles fuqua,1,31551,,,,,,,,,,
January,,2016,7,children and youth summer programs,1,31551,,,,,,,,,,
January,,2016,7,Chris hollingsworth,1,31551,,,,,,,,,,
January,,2016,90,Christmas tree,1,1136,,,,,,,,,,
January,,2016,63,christmas tree,1,2095,,,,,,,,,,
January,,2016,22,Christmas tree disposal,1,10472,,,,,,,,,,
January,,2016,7,christmas tree disposal,1,31551,,,,,,,,,,
January,,2016,16,Christmas tree drop off,1,16227,,,,,,,,,,
January,,2016,8,christmas tree pick up,1,28780,,,,,,,,,,
January,,2016,7,christmas tree pickup,1,31551,,,,,,,,,,
January,,2016,7,Christmas tree recycle,1,31551,,,,,,,,,,
January,,2016,7,christmas tree recycle,1,31551,,,,,,,,,,
January,,2016,29,Christmas tree recycling,1,7012,,,,,,,,,,
January,,2016,17,christmas tree recycling,1,15102,,,,,,,,,,
January,,2016,8,Christmas tree recycling Nashville,1,28780,,,,,,,,,,
January,,2016,9,Christmas trees,1,26399,,,,,,,,,,
January,,2016,12,circuit court,1,21410,,,,,,,,,,
January,,2016,8,circuit court clerk,1,28780,,,,,,,,,,
January,,2016,10,Civil cases,1,24413,,,,,,,,,,
January,,2016,74,civil service,1,1608,,,,,,,,,,
January,,2016,8,civil service commission,1,28780,,,,,,,,,,
January,,2016,10,civil service jan 2016,1,24413,,,,,,,,,,
January,,2016,8,civil service minutes,1,28780,,,,,,,,,,
January,,2016,8,civil service policy,1,28780,,,,,,,,,,
January,,2016,55,civil service rules,1,2624,,,,,,,,,,
January,,2016,7,civil services rules,1,31551,,,,,,,,,,
January,,2016,8,clarksville highway,1,28780,,,,,,,,,,
January,,2016,7,Closed or opened because of weather,1,31551,,,,,,,,,,
January,,2016,8,Closings,1,28780,,,,,,,,,,
January,,2016,14,code,1,18917,,,,,,,,,,
January,,2016,7,code of ethics,1,31551,,,,,,,,,,
January,,2016,80,codes,1,1397,,,,,,,,,,
January,,2016,18,CODES,1,13846,,,,,,,,,,
January,,2016,8,codes admin,1,28780,,,,,,,,,,
January,,2016,8,codes department,1,28780,,,,,,,,,,
January,,2016,7,collections,1,31551,,,,,,,,,,
January,,2016,7,community centers,1,31551,,,,,,,,,,
January,,2016,9,community education,1,26399,,,,,,,,,,
January,,2016,9,contextual overlay,1,26399,,,,,,,,,,
January,,2016,9,contracts,1,26399,,,,,,,,,,
January,,2016,8,cost of living retired employees,1,28780,,,,,,,,,,
January,,2016,10,council,1,24413,,,,,,,,,,
January,,2016,8,Council Bill No. BL2015-81,1,28780,,,,,,,,,,
January,,2016,7,council districts,1,31551,,,,,,,,,,
January,,2016,25,county clerk,1,8768,,,,,,,,,,
January,,2016,7,Court,1,31551,,,,,,,,,,
January,,2016,17,court cases,1,15102,,,,,,,,,,
January,,2016,12,court date,1,21410,,,,,,,,,,
January,,2016,7,court dates,1,31551,,,,,,,,,,
January,,2016,7,Court docket,1,31551,,,,,,,,,,
January,,2016,22,courts,1,10472,,,,,,,,,,
January,,2016,9,Courts,1,26399,,,,,,,,,,
January,,2016,12,crime,1,21410,,,,,,,,,,
January,,2016,16,crime map,1,16227,,,,,,,,,,
January,,2016,7,Crime stoppers list,1,31551,,,,,,,,,,
January,,2016,25,criminal court,1,8768,,,,,,,,,,
January,,2016,13,Criminal court,1,20168,,,,,,,,,,
January,,2016,50,criminal court clerk,1,3044,,,,,,,,,,
January,,2016,13,Criminal court clerk,1,20168,,,,,,,,,,
January,,2016,8,criminal records,1,28780,,,,,,,,,,
January,,2016,7,Criminal records,1,31551,,,,,,,,,,
January,,2016,8,curb detail,1,28780,,,,,,,,,,
January,,2016,13,daily booking list,1,20168,,,,,,,,,,
January,,2016,7,dance,1,31551,,,,,,,,,,
January,,2016,9,dcso,1,26399,,,,,,,,,,
January,,2016,15,delayed accident report,1,17757,,,,,,,,,,
January,,2016,7,demolition,1,31551,,,,,,,,,,
January,,2016,16,directory,1,16227,,,,,,,,,,
January,,2016,9,Division Street Extension Roadway and Bridge,1,26399,,,,,,,,,,
January,,2016,13,divorce,1,20168,,,,,,,,,,
January,,2016,7,divorce decree,1,31551,,,,,,,,,,
January,,2016,14,divorce records,1,18917,,,,,,,,,,
January,,2016,7,dog license,1,31551,,,,,,,,,,
January,,2016,8,downtown code,1,28780,,,,,,,,,,
January,,2016,12,driver license,1,21410,,,,,,,,,,
January,,2016,11,Drug testing,1,22840,,,,,,,,,,
January,,2016,19,E permits,1,12942,,,,,,,,,,
January,,2016,123,ebid,1,605,,,,,,,,,,
January,,2016,23,Ebid,1,9894,,,,,,,,,,
January,,2016,15,ebs,1,17757,,,,,,,,,,
January,,2016,11,education,1,22840,,,,,,,,,,
January,,2016,7,ees,1,31551,,,,,,,,,,
January,,2016,26,election commission,1,8239,,,,,,,,,,
January,,2016,7,electrical permit,1,31551,,,,,,,,,,
January,,2016,20,email,1,11950,,,,,,,,,,
January,,2016,10,Email,1,24413,,,,,,,,,,
January,,2016,11,employee buyout,1,22840,,,,,,,,,,
January,,2016,7,employee handbook,1,31551,,,,,,,,,,
January,,2016,109,employee self service,1,795,,,,,,,,,,
January,,2016,13,Employee self service,1,20168,,,,,,,,,,
January,,2016,88,employment,1,1187,,,,,,,,,,
January,,2016,20,Employment,1,11950,,,,,,,,,,
January,,2016,12,employment opportunities,1,21410,,,,,,,,,,
January,,2016,7,engineering,1,31551,,,,,,,,,,
January,,2016,111,ess,1,764,,,,,,,,,,
January,,2016,10,ESS,1,24413,,,,,,,,,,
January,,2016,9,Ess,1,26399,,,,,,,,,,
January,,2016,10,ess payroll,1,24413,,,,,,,,,,
January,,2016,9,ess.nashville.gov,1,26399,,,,,,,,,,
January,,2016,7,evading,1,31551,,,,,,,,,,
January,,2016,7,fiber optic south nashville,1,31551,,,,,,,,,,
January,,2016,7,file police report,1,31551,,,,,,,,,,
January,,2016,19,finance,1,12942,,,,,,,,,,
January,,2016,8,fingerprint,1,28780,,,,,,,,,,
January,,2016,10,fingerprinting,1,24413,,,,,,,,,,
January,,2016,13,fire department,1,20168,,,,,,,,,,
January,,2016,7,fire extinguishers,1,31551,,,,,,,,,,
January,,2016,14,fireworks,1,18917,,,,,,,,,,
January,,2016,8,food stamps,1,28780,,,,,,,,,,
January,,2016,10,food truck,1,24413,,,,,,,,,,
January,,2016,10,form,1,24413,,,,,,,,,,
January,,2016,19,forms,1,12942,,,,,,,,,,
January,,2016,7,general sessions,1,31551,,,,,,,,,,
January,,2016,36,gis,1,5095,,,,,,,,,,
January,,2016,12,GIS,1,21410,,,,,,,,,,
January,,2016,8,Gooch,1,28780,,,,,,,,,,
January,,2016,21,google,1,11275,,,,,,,,,,
January,,2016,7,hadley park,1,31551,,,,,,,,,,
January,,2016,8,handgun permit,1,28780,,,,,,,,,,
January,,2016,8,hardship form,1,28780,,,,,,,,,,
January,,2016,8,Hassan Hassan,1,28780,,,,,,,,,,
